,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
740,"4719 Jelynn St, Raleigh, NC 27616","$439,900",3,3,"2,419",3,4719 Jelynn St, Raleigh,NC 27616,NC,27616,2022-12-03
741,"807 Chamberlain St, Raleigh, NC 27607","$2,500,000",5,4,"4,562",3,807 Chamberlain St, Raleigh,NC 27607,NC,27607,2022-12-03
742,"322 Bragg St, Raleigh, NC 27601","$599,999",3,3,"1,550",7,322 Bragg St, Raleigh,NC 27601,NC,27601,2022-12-03
743,"2701 Cloud Mist Cir, Raleigh, NC 27614","$365,000",3,3,"1,945",7,2701 Cloud Mist Cir, Raleigh,NC 27614,NC,27614,2022-12-03
744,"1313 Camille Ct, Raleigh, NC 27615","$2,849,000",5,6,"5,210",9,1313 Camille Ct, Raleigh,NC 27615,NC,27615,2022-12-03
745,"4216 Ferriday Ct, Raleigh, NC 27616","$317,500",3,2,"1,137",3,4216 Ferriday Ct, Raleigh,NC 27616,NC,27616,2022-12-03
746,"2369 Sapphire Valley Dr, Raleigh, NC 27604","$329,500",3,3,"1,414",1,2369 Sapphire Valley Dr, Raleigh,NC 27604,NC,27604,2022-12-03
747,"1200 Capability Dr #101, Raleigh, NC 27606","$399,900",2,3,"1,371",1,1200 Capability Dr #101, Raleigh,NC 27606,NC,27606,2022-12-03
748,"721 Lunar Dr, Raleigh, NC 27610","$315,000",3,1,975,4,721 Lunar Dr, Raleigh,NC 27610,NC,27610,2022-12-03
749,"2367 Champion Ct #2367, Raleigh, NC 27606","$364,000",3,3,"1,325",1,2367 Champion Ct #2367, Raleigh,NC 27606,NC,27606,2022-12-03
750,"517 E Cabarrus St, Raleigh, NC 27601","$1,995,000",4,5,"3,171",2,517 E Cabarrus St, Raleigh,NC 27601,NC,27601,2022-12-03
751,"5516 Bridgeman Ct, Durham, NC 27703","$459,900",3,3,"1,838",4,5516 Bridgeman Ct, Durham,NC 27703,NC,27703,2022-12-03
752,"4036 Whitney Peak Dr, Raleigh, NC 27616","$405,035",4,3,"2,134",1,4036 Whitney Peak Dr, Raleigh,NC 27616,NC,27616,2022-12-03
753,"4816 Sweetbriar Dr, Raleigh, NC 27609","$1,615,000",5,5,"3,776",2,4816 Sweetbriar Dr, Raleigh,NC 27609,NC,27609,2022-12-03
754,"5508 Grand Traverse Dr, Raleigh, NC 27604","$328,000",3,3,"1,614",6,5508 Grand Traverse Dr, Raleigh,NC 27604,NC,27604,2022-12-03
755,"3104 Dogwood Dr, Raleigh, NC 27604","$399,900",3,3,"1,603",1,3104 Dogwood Dr, Raleigh,NC 27604,NC,27604,2022-12-03
756,"6409 Camellia Creek Dr, Raleigh, NC 27603","$675,000",3,3,"2,579",1,6409 Camellia Creek Dr, Raleigh,NC 27603,NC,27603,2022-12-03
757,"4313 Fowler Ridge Dr, Raleigh, NC 27616","$430,000",4,3,"2,323",3,4313 Fowler Ridge Dr, Raleigh,NC 27616,NC,27616,2022-12-03
758,"4920 Sweet Shade Trl, Raleigh, NC 27616","$375,000",3,3,"1,635",3,4920 Sweet Shade Trl, Raleigh,NC 27616,NC,27616,2022-12-03
759,"719 Sasser St, Raleigh, NC 27604","$1,199,000",4,4,"3,238",1,719 Sasser St, Raleigh,NC 27604,NC,27604,2022-12-03
760,"701 Edmund St, Raleigh, NC 27604","$1,350,000",4,3,"3,309",1,701 Edmund St, Raleigh,NC 27604,NC,27604,2022-12-03
